BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","de2008protecting","De Janvry, Alain; Sadoulet, Elisabeth; Vakis, Renos & others","Protecting vulnerable children from uninsured risks: Adapting conditional cash transfer programs to provide broader safety nets","France: Fondation Pour Le S {\'E}tude S Et Recherche S Sur Le D{\'e}veloppement Inte Rnational",,,"","",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","debowicz2014impact","Debowicz, Dario & Golan, Jennifer","The impact of Oportunidades on human capital and income distribution in Mexico: A top-down/bottom-up approach","Journal of Policy Modeling",36,1,"","24--42",2014,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","dellacherie2011probabilities","Dellacherie, Claude & Meyer, P-A","Probabilities and Potential, C: Potential Theory for Discrete and Continuous Semigroups","",,,"","",2011,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","dijk2007criminal","Dijk, J van; Kesteren, J van & Smit, Paul","Criminal victimisation in international perspective","",,,"","",2007,"","","","","","","","","Boom Juridische Uitgevers","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","dixon2013international","Dixon, Pauline","International Aid and Private Schools for the Poor: Smiles, Miracles and Markets","",,,"","",2013,"","","","","","","","","Edward Elgar Publishing","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","dobbie2011high","Dobbie, Will & Fryer Jr, Roland G","Are high-quality schools enough to increase achievement among the poor? Evidence from the Harlem Children's Zone","American Economic Journal: Applied Economics",,,"","158--187",2011,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","dougherty2005returns","Dougherty, Christopher","Why are the returns to schooling higher for women than for men?","Journal of Human Resources",40,4,"","969--988",2005,"","","","","","","","","University of Wisconsin Press","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","duncan2005can","Duncan, Greg J & Magnuson, Katherine A","Can family socioeconomic resources account for racial and ethnic test score gaps?","The future of children",15,1,"","35--54",2005,"","","","","","","","","Princeton University","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","dyke2006effects","Dyke, Andrew; Heinrich, Carolyn J; Mueser, Peter R; Troske, Kenneth R & Jeon, Kyung-Seong","The effects of welfare-to-work program activities on labor market outcomes","Journal of Labor Economics",24,3,"","567--607",2006,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","educationprofile","EDUCATION, AME COUNTRY","PROFILE SERIES: CAMBODIA","",,,"","",,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"","felix2007passing","Felix, R Alison","Passing the burden: Corporate tax incidence in open economies","",,,"","",2007,"","","","","","","","","","","","LIS Working Paper Series","","LIS Working Paper Series","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferrando2012cash","Ferrando, Mery","Cash transfers and school outcomes: the case of Uruguay","Master's thesis, Universit{\'e} Catholique de Louvain, Louvain-la-Neuve, Belgium",,,"","",2012,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2010distributions","Ferreira, Francisco HG","Distributions in motion: economic growth, inequality, and poverty dynamics","World Bank Policy Research Working Paper Series, Vol",,,"","",2010,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","ferreira2003policy","Ferreira, Francisco HG; Ferreira, Francisco HC & Leite, Phillippe George","Policy Options for Meeting the Millenium Development Goals in Brazil: Can Micro-simulations Help?","",2975,,"","",2003,"","","","","","","","","World Bank Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2009own","Ferreira, Francisco HG; Filmer, Deon & Schady, Norbert","Own and sibling effects of conditional cash transfer programs: Theory and evidence from Cambodia","World Bank Policy Research Working Paper Series, Vol",,,"","",2009,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2004educational","Ferreira, Francisco HG & Leite, Phillippe G","Educational expansion and income distribution: a microsimulation for Cear\'a","Growth, Inequality and Poverty",,,"","222--50",2004,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2003meeting","Ferreira, Francisco HG; Leite, Phillippe G; Bourguignon, Fran{\c{c}}ois & Rodr{\'\i}guez-Clare, Andr{\'e}s","Meeting the Millennium Development Goals in Brazil: Can Microeconomic Simulations Help?[with Comments]","Econom{\'\i}a",,,"","235--279",2003,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2004can","Ferreira, Francisco HG; Leite, Phillippe G & Picchetti, Paulo","Can the distributional impacts of macroeconomic shocks be predicted? A comparison of the performance of macro-micro models with historical data for Brazil","A Comparison of the Performance of Macro-Micro Models with Historical Data for Brazil (May 11, 2004). World Bank Policy Research Working Paper",,3303,"","",2004,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira1985poverty","Ferreira, Francisco HG; Leite, Phillippe G & Ravallion, Martin","Poverty reduction without economic growth? explaining Brazil's poverty dynamics, 1985-2004","Explaining Brazil's Poverty Dynamics",2004,,"","",1985,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2003aggregate","Ferreira, Francisco HG; Leite, Philippe G; da Silva, Luiz A Pereira & Picchetti, Paulo","Aggregate Shocks and Income Distribution: Can Macro-Micro Models Help Identify Winners and Losers from a Devaluation?","World Bank, Washington, DC. Mimeo",,,"","",2003,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2007trade","Ferreira, Francisco HG; Leite, Phillippe G & Wai-Poi, Matthew","Trade liberalization, employment flows, and wage inequality in Brazil","World Bank Policy Research Working Paper",,4108,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","ferreira2012economic","Ferreira, Francisco HG; Messina, Julian; Rigolini, Jamele; L{\'o}pez-Calva, Luis-Felipe; Lugo, Maria Ana; Vakis, Renos; L{\'o}, Luis Felipe & others","Economic mobility and the rise of the Latin American middle class","",,,"","",2012,"","","","","","","","","World Bank Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2008global","Ferreira, Francisco HG & Ravallion, Martin","Global poverty and inequality: a review of the evidence","World Bank Policy Research Working Paper Series, Vol",,,"","",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ferreira2010social","Ferreira, Francisco HG & Robalino, David A","Social protection in Latin America: achievements and limitations","World Bank Policy Research Working Paper Series, Vol",,,"","",2010,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","filmer2009there","Filmer, Deon & Schady, Norbert","Are there diminishing returns to transfer size in conditional cash transfers?","World Bank Policy Research Working Paper Series, Vol",,,"","",2009,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","fink2001social","Fink, Barbara & Widom, Rebecca","Social Service Organizations and Welfare Reform.","",,,"","",2001,"","","","","","","","","ERIC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","flores2010interpreting","Flores-Lagunes, Alfonso & Light, Audrey","Interpreting degree effects in the returns to education","Journal of Human Resources",45,2,"","439--467",2010,"","","","","","","","","University of Wisconsin Press","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","franccois2008beyond","Fran{\c{c}}ois, Bourguignon; Ferreira Francisco, HG & Phillippe, Leite","Beyond Oaxaca-Blinder: Accounting for Differences in Household Income Distributions","Journal of Economic Inequality",6,2,"","117--148",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","garcia2011weighted","Garc{\'\i}a-Cuerva, Jos{\'e} & De Francia, JL Rubio","Weighted norm inequalities and related topics","",,,"","",2011,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","gennetian2004can","Gennetian, Lisa A; Crosby, Danielle A; Huston, Aletha C & Lowe, Edward D","Can child care assistance in welfare and employment programs support the employment of low-income families?","Journal of Policy Analysis and Management",23,4,"","723--743",2004,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","girault2004hiv","Girault, Philippe; Saidel, Tobi; Song, Ngak; Lind Van Wijngaarden, Jan W de; Dallabetta, Gina; Stuer, Francesca; Mills, Stephen; Or, Vathanak; Grosjean, Pierre; Glaziou, Philippe & others","HIV, STIs, and sexual behaviors among men who have sex with men in Phnom Penh, Cambodia","AIDS Education and Prevention",16,1: Special issue,"","31--44",2004,"","","","","","","","","Guilford Press","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","greenberg2003explaining","Greenberg, David; Meyer, Robert; Michalopoulos, Charles & Wiseman, Michael","Explaining variation in the effects of welfare-to-work programs","Evaluation Review",27,4,"","359--394",2003,"","","","","","","","","Sage Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","gueron2002role","Gueron, Judith M & Hamilton, Gayle","The Role of Education and Training in Welfare Reform. Welfare Reform and Beyond. Policy Brief.","",,,"","",2002,"","","","","","","","","ERIC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","hall2008brazil","Hall, Anthony","Brazil's Bolsa Fam\'\ilia: A Double-Edged Sword?","Development and change",39,5,"","799--822",2008,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","holla2011citizens","Holla, Alaka; Koziol, Margaret; Srinivasan, Santhosh & others","Citizens and Service Delivery: Assessing the Use of Social Accountability Approaches in Human Development Sectors","",,,"","",2011,"","","","","","","","","World Bank Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","hortle2004introduction","Hortle, KG; Penh, Phnom; Lieng, S; Valbo-Jorgensen, J; Commission, Mekong River & others","An introduction to Cambodia's inland fisheries","",,,"","",2004,"","","","","","","","","Phnom Penh (Cambodia) MRC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","hotz2002welfare","Hotz, V Joseph; Mullin, Charles H & Scholz, John Karl","Welfare, employment, and income: Evidence on the effects of benefit reductions from california","American Economic Review",,,"","380--384",2002,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","ikeda2014stochastic","Ikeda, Nobuyuki & Watanabe, Shinzo","Stochastic differential equations and diffusion processes","",,,"","",2014,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","jacobson2005impact","Jacobson, Louis; LaLonde, Robert J & Sullivan, Daniel","The impact of community college retraining on older displaced workers: Should we teach old dogs new tricks?","Industrial \& Labor Relations Review",58,3,"","398--415",2005,"","","","","","","","","SAGE Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","de1996theory","de Jager, Eduardus Marie & Furu, JF","The theory of singular perturbations","",42,,"","",1996,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","jepsen2014labor","Jepsen, Christopher; Troske, Kenneth & Coomes, Paul","The labor-market returns to community college degrees, diplomas, and certificates","Journal of Labor Economics",32,1,"","95--121",2014,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","kilbas2006theory","Kilbas, A Anatolii Aleksandrovich; Srivastava, Hari Mohan & Trujillo, Juan J","Theory and applications of fractional differential equations","",204,,"","",2006,"","","","","","","","","Elsevier Science Limited","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","kimerling2002prevalence","Kimerling, M; Schuchter, J; Chanthol, E; Kunthy, T; Stuer, F; Glaziou, P; Ee, O & others","Prevalence of pulmonary tuberculosis among HIV-infected persons in a home care program in Phnom Penh, Cambodia","The International Journal of Tuberculosis and Lung Disease",6,11,"","988--994",2002,"","","","","","","","","International Union Against Tuberculosis and Lung Disease","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","kingnational","King, Nation Religion","National Social Protection Strategy for the Poor and Vulnerable","",,,"","",,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","kitamura2015political","Kitamura, Yuto; Edwards Jr, D Brent; Sitha, Chhinh & Williams, James H","The Political Economy of Schooling in Cambodia: Issues of Quality and Equity","",,,"","",2015,"","","","","","","","","Palgrave Macmillan","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","krajcinovic1996damage","Krajcinovic, Dusan","Damage mechanics","",41,,"","",1996,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","kum2005improving","Kum, Veasna; Sharp, Alice & Harnpornchai, Napat","Improving the solid waste management in Phnom Penh city: a strategic approach","Waste management",25,1,"","101--109",2005,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"","lise2004equilibrium","Lise, Jeremy; Seitz, Shannon & Smith, Jeffrey","Equilibrium policy experiments and the evaluation of social programs","",,,"","",2004,"","","","","","","","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","","[Formatter not found: ResolvePDF] ",""
1,"","lurie2012non","Lurie, Anatolii Isakovich","Non-linear theory of elasticity","",,,"","",2012,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","manacorda2007local","Manacorda, Marco & Rosati, Furio C","Local labor demand and child labor","Understanding Children's Work Programme Working Paper",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","manin1986cubic","Manin, Yu I","Cubic forms: algebra, geometry, arithmetic","",,,"","",1986,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","meghir2005educational","Meghir, Costas & Palme, M{\aa}rten","Educational reform, ability, and family background","American Economic Review",,,"","414--424",2005,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","meier2012optical","Meier, Felix & Zakharchenya, Boris Petrovich","Optical orientation","",,,"","",2012,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","morris2008welfare","Morris, Pamela A","Welfare program implementation and parents’ depression","The Social service review",82,4,"","579",2008,"","","","","","","","","NIH Public Access","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","morris2001welfare","Morris, Pamela A; Huston, Aletha C; Duncan, Greg J; Crosby, Danielle A & Bos, Johannes M","How Welfare and Work Policies Affect Children: A Synthesis of Research.","",,,"","",2001,"","","","","","","","","ERIC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","morris2003effects","Morris, Pamela; Bloom, Dan; Kemple, James & Hendra, Richard","The Effects of a Time-Limited Welfare Program on Children: The Moderating Role of Parents' Risk of Welfare Dependency","Child development",74,3,"","851--874",2003,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","morris2003findings","Morris, Pamela & Michalopoulos, Charles","Findings from the Self-Sufficiency Project: Effects on children and adolescents of a program that increased employment and income","Journal of Applied Developmental Psychology",24,2,"","201--239",2003,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","nayfeh1995wave","Nayfeh, Adnan H","Wave propagation in layered anisotropic media: With application to composites","",,,"","",1995,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","nino2011mexico","Ni{\~n}o-Zaraz{\'u}a, Miguel","Mexico’s Progresa-Oportunidades and the emergence of social assistance in Latin America","",,,"","",2011,"","","","","","","","","BWPI Working Paper","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","okun2013leptons","Okun, Lev Borisovich","Leptons and quarks","",,,"","",2013,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
10,"","penh2010cambodia","Penh, Phnom","Cambodia","",,,"","",2010,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","phillips2002freshwater","Phillips, MJ; Penh, Phnom; Commission, Mekong River & others","Freshwater aquaculture in the lower Mekong Basin","",,,"","",2002,"","","","","","","","","Phnom Penh (Cambodia) Mekong River Commission","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","ponchaud1978cambodia","Ponchaud, Francois","Cambodia: year zero","",,,"","",1978,"","","","","","","","","Henry Holt \& Company","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","poulsen2002fish","Poulsen, AF; Penh, Phnom; Poeu, Ouch; Viravong, Sintavong; Suntornratana, Ubolratana; Tung, Nguyen Thanh; Commission, Mekong River & others","Fish migrations of the Lower Mekong River Basin: implications for development, planning and environmental management","",,,"","",2002,"","","","","","","","","Phnom Penh (Cambodia) Mekong River Commission","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","prasertsri2008cambodia","Prasertsri, Supote S","Cambodia Case Study of Government and Donor Efforts for Improved Aid Effectiveness in the Education Sector (2000-2008)","",,,"","",2008,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","prybylski1999knowledge","Prybylski, D & Alto, WA","Knowledge, attitudes and practices concerning HIV/AIDS among sex workers in Phnom Penh, Cambodia","AIDS care",11,4,"","459--472",1999,"","","","","","","","","Taylor \& Francis","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","purcell2009country","Purcell, Ray; Riddell, Abby; Taylor, George & Vicheanon, Khieu","Country Case Study: Cambodia","",,,"","",2009,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","reimer2012local","Reimer, Jill Katheryn","Local negotiation of globalised educational discourses: the case of Child Friendly Schools in rural Cambodia","",,,"","",2012,"","","","","","","","","University of British Columbia","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","riddell2004social","Riddell, W Craig","The social benefits of education: new evidence on an old question","Taking Public Universities Seriously",,,"","",2004,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","riddell2006impact","Riddell, William Craig & others","The impact of education on economic and social outcomes: An overview of recent advances in economics","",,,"","",2006,"","","","","","","","","Canadian Policy Research Networks","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","ringold1999safety","Ringold, Dena & Andrews, Emily S","Safety Nets in Transition Economies: Toward a Reform Strategy","Social Protection Discussion Papers. Washington DC, World Bank",,,"","",1999,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","robinson2012sanitation","Robinson, Andy","Sanitation Finance in Rural Cambodia","",,,"","",2012,"","","","","","","","","World Bank, Washington, DC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","robinson2000child","Robinson, James A & Baland, Jean-Marie","Is Child Labor Inefficient?","Journal of Political Economy",108,4,"","",2000,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","rodgers2007child","Rodgers, Harrell R & Payne, Lee","Child poverty in the American states: The impact of welfare reform, economics, and demographics","Policy Studies Journal",35,1,"","1--21",2007,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","salthouse2000theory","Salthouse, Timothy","A theory of cognitive aging","",,,"","",2000,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","savner2002tanf","Savner, Steve; Strawn, Julie & Greenberg, Mark H","TANF Reauthorization: Opportuniteis to Reduce Poverty by Improving Employment Outcomes","",,,"","",2002,"","","","","","","","","Center for Law and Social Policy Washington, DC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","schady2008cash","Schady, Norbert; Araujo, Maria Caridad; Pe{\~n}a, Ximena & L{\'o}pez-Calva, Luis F","Cash Transfers, Conditions, and School Enrollment in Ecuador [with Comments]","Econom{\'\i}a",,,"","43--77",2008,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","schady2006getting","Schady, Norbert & Filmer, Deon","Getting girls into school: Evidence from a scholarship program in Cambodia","World Bank Policy Research Working Paper Series, Vol",,,"","",2006,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","schady2007infant","Schady, Norbert & Friedman, Jed","Infant Mortality Over the Business Cycle in the Developing World","World Bank Policy Research Working Paper Series, Vol",,,"","",2007,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","schochet2008does","Schochet, Peter Z; Burghardt, John & McConnell, Sheena","Does job corps work? Impact findings from the National Job Corps Study","The American economic review",,,"","1864--1886",2008,"","","","","","","","","JSTOR","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","schwartzman2005education","Schwartzman, Simon","Education-oriented social programs in Brazil: the impact of Bolsa Escola","Instituto de Estudos do Trabalho e Sociedade",,,"","",2005,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","senya2003spectrum","Senya, Chhin; Mehta, Akanksha; Harwell, Joseph I; Pugatch, David; Flanigan, Timothy & Mayer, Kenneth H","Spectrum of opportunistic infections in hospitalized HIV-infected patients in Phnom Penh, Cambodia","International journal of STD \& AIDS",14,6,"","411--416",2003,"","","","","","","","","SAGE Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","shatkin1998fourth","Shatkin, Gavin","‘Fourth World’cities in the global economy: the case of Phnom Penh, Cambodia","International Journal of Urban and Regional Research",22,3,"","378--393",1998,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","sperber2002analysis","Sperber, Leslie & Bloom, Dan","An Analysis of Vermont's Community Service Employment Program.","",,,"","",2002,"","","","","","","","","ERIC","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","sverdrup2002fisheries","Sverdrup-Jensen, S; Penh, Phnom; Bishop, A; Clayton, T; Barlow, C; Commission, Mekong River & others","Fisheries in the Lower Mekong Basin: status and perspectives","",,,"","",2002,"","","","","","","","","Phnom Penh (Cambodia) Mekong River Commission","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","tamura2007depositional","Tamura, Toru; Saito, Yoshiki; Sieng, Sotham; Ben, Bunnarin; Kong, Meng; Choup, Sokuntheara & Tsukawaki, Shinji","Depositional facies and radiocarbon ages of a drill core from the Mekong River lowland near Phnom Penh, Cambodia: evidence for tidal sedimentation at the time of Holocene maximum flooding","Journal of Asian Earth Sciences",29,5,"","585--592",2007,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","tandon2015educating","Tandon, Prateek & Fukao, Tsuyoshi","Educating the Next Generation: Improving Teacher Quality in Cambodia","",,,"","",2015,"","","","","","","","","World Bank Publications","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","tenn2005alternative","Tenn, Steven","An alternative measure of relative education to explain voter turnout","Journal of Politics",67,1,"","271--282",2005,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","transfers2003aworldbankpolicyresea","TRANSFERS, CASH","AWORLDBANKPOLICYRESEA RCHREPORT","Choice",4,,"","25",2003,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","upmeier2011symmetric","Upmeier, Harald","Symmetric Banach manifolds and Jordan C*-algebras","",,,"","",2011,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","vanettiproviding","Vanetti, Sidi & Gysin, Andreas","Providing Skills for Equity and Growth Preparing Cambodia’s youth for the labor market","",,,"","",,"","","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","wajcman1998hemoglobin","Wajcman, H; Pr{\'e}hu, MO; Pr{\'e}hu, C; Blouquit, Y; Prom{\'e}, D & Galact{\'e}ros, F","Hemoglobin Phnom Penh [$\alpha$117Phe (H1)-Ile-$\alpha$118Thr (H2)]; evidence for a hotspot for insertion of residues in the third exon of the $\alpha$1-globin gene","Human mutation",11,S1,"","S20--S22",1998,"","","","","","","","","Wiley Online Library","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
7,"","wheeler2005evidence","Wheeler, Christopher H","Evidence on wage inequality, worker education, and technology","Federal Reserve Bank of St. Louis Review",87,3,"","375--93",2005,"","","","","","","","","Federal Reserve Bank of St. Louis","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","wilansky2000summability","Wilansky, Albert","Summability through functional analysis","",,,"","",2000,"","","","","","","","","Elsevier","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
1,"","zemb2002neutrons","Zemb, Thomas & Lindner, Peter","Neutrons, X-rays and light: scattering methods applied to soft condensed matter","",,,"","",2002,"","","","","","","","","North-Holland","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
